,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
279,0.0,232.25,177.0,0.0,220.25,172.0,169.0,38.25,223.5,193.5,213.75,234.25,188.0,0.0,271.25,238.75,218.25,235.75,155.25,254.5,178.5,262.5,196.5,0.0,117.0,222.25,224.5,253.0,256.5,242.0,241.5,0.0,236.75,213.5,219.75,203.5,196.0,55.75,222.5,212.5,0.0
280,0.0,242.5,164.75,0.0,215.5,192.0,221.25,38.25,227.75,135.75,190.75,195.5,225.75,0.0,197.75,235.5,194.5,213.75,92.75,232.0,174.5,219.75,193.75,0.0,191.0,227.0,184.25,204.75,253.5,198.75,279.0,0.0,191.0,199.75,183.25,130.75,173.75,55.75,174.5,230.5,0.0
281,0.0,191.0,157.25,0.0,218.5,140.0,181.0,38.25,220.75,170.75,216.25,227.0,229.5,0.0,190.5,223.75,203.25,227.75,134.0,290.75,251.0,176.25,202.0,0.0,163.5,220.0,230.75,238.5,283.25,212.25,226.5,0.0,198.75,171.25,171.5,185.0,175.5,55.75,158.25,251.75,0.0
282,0.0,247.5,165.0,0.0,252.75,197.75,186.75,38.25,203.25,142.75,205.25,208.75,219.75,0.0,232.5,270.0,203.25,226.25,114.0,283.5,182.0,255.5,226.0,0.0,181.75,282.0,225.25,231.75,232.75,191.5,238.5,0.0,229.75,167.25,178.25,175.0,199.0,55.75,152.75,236.5,0.0
283,0.0,206.5,170.5,0.0,260.75,143.5,237.25,38.25,217.25,171.25,262.25,230.25,198.25,0.0,197.75,214.0,230.0,225.5,105.75,270.75,282.5,260.5,149.5,0.0,139.75,171.25,246.0,163.75,251.5,190.25,234.75,0.0,258.5,139.5,195.0,181.25,152.75,55.75,188.75,283.75,0.0
284,0.0,230.5,118.25,0.0,244.0,168.75,224.0,38.25,237.25,147.0,267.25,248.75,224.5,0.0,256.25,227.5,165.0,204.5,109.25,217.25,196.75,238.0,198.25,0.0,163.0,211.0,172.25,255.0,253.75,179.25,241.75,0.0,199.5,190.5,159.75,195.0,175.75,55.75,206.0,220.25,0.0
285,0.0,234.75,154.0,0.0,213.75,195.75,199.0,38.25,204.5,134.75,201.75,245.0,225.5,0.0,195.0,232.75,211.5,197.0,105.0,301.0,213.75,205.0,235.5,0.0,211.0,215.75,193.0,210.0,270.75,214.5,208.75,0.0,208.75,206.25,216.75,181.75,159.0,55.75,208.5,206.5,0.0
286,0.0,182.5,171.75,0.0,210.0,179.5,182.25,38.25,254.25,136.75,249.75,216.5,225.0,0.0,218.75,268.5,210.0,202.5,139.75,236.5,207.25,259.25,210.75,0.0,98.25,223.5,255.75,215.0,250.25,242.0,288.0,0.0,238.75,171.5,179.25,153.25,192.5,55.75,143.0,243.5,0.0
287,0.0,217.0,125.5,0.0,253.0,175.5,230.25,38.25,228.5,158.5,185.25,189.5,208.0,0.0,199.0,233.25,186.75,286.5,107.0,284.5,201.25,180.25,199.25,0.0,196.25,257.0,171.5,200.75,256.75,237.75,218.25,0.0,219.25,188.5,131.25,154.75,168.75,55.75,213.75,242.75,0.0
288,0.0,190.5,196.25,0.0,207.5,150.5,211.0,38.25,233.5,179.0,200.75,219.5,206.5,0.0,187.0,245.25,170.75,159.25,107.0,234.25,230.25,230.0,204.25,0.0,180.5,195.5,203.0,206.0,254.5,232.25,255.75,0.0,178.75,148.25,160.75,183.5,138.5,55.75,200.25,213.5,0.0
