,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
125,302.75,249.75,278.0,256.25,243.25,349.25,245.5,236.5,237.75,232.25,248.5,234.5,239.25,254.0
126,300.5,244.75,289.5,277.25,269.0,282.0,227.75,270.25,233.0,225.25,278.75,217.0,217.25,240.5
127,267.75,224.5,263.75,264.0,239.25,273.0,240.75,248.0,214.5,261.0,248.25,176.75,258.5,248.5
128,281.25,273.75,260.0,264.0,254.5,272.75,282.75,215.0,211.75,232.5,256.75,245.75,206.75,226.0
129,257.5,249.75,266.5,226.5,252.25,278.5,259.25,253.0,239.75,245.25,288.0,230.5,258.0,257.0
130,272.25,261.0,296.75,287.75,252.5,319.75,276.75,237.5,222.25,263.0,258.5,224.25,268.75,192.75
131,289.75,270.0,307.25,234.0,212.75,283.25,270.0,229.0,311.5,203.25,217.5,267.0,202.75,205.5
132,248.0,237.5,247.25,239.75,271.0,295.75,285.75,234.25,221.0,260.75,238.0,250.5,296.0,214.0
133,224.5,225.75,272.75,224.75,247.0,287.0,276.25,219.5,254.75,265.0,273.75,277.25,236.5,243.25
134,262.25,182.75,266.25,219.5,263.75,316.0,267.0,239.25,238.25,236.25,257.5,221.25,201.75,229.0
135,331.5,253.25,253.5,225.25,253.0,338.0,254.5,279.75,263.25,235.5,240.0,238.25,203.75,210.25
136,309.5,245.5,252.25,264.0,228.75,290.75,234.75,263.25,240.5,231.25,263.0,239.25,239.25,203.0
137,290.0,216.0,311.25,228.25,245.0,318.75,247.75,268.75,203.25,258.25,276.5,258.5,282.0,206.25
138,278.5,221.5,289.25,260.25,273.5,297.5,335.5,225.25,285.25,205.75,206.75,251.5,205.0,237.25
139,271.25,173.75,310.0,271.25,307.5,293.5,224.5,218.0,232.0,228.75,212.75,212.0,253.5,233.25
140,290.5,235.25,245.5,246.75,249.5,286.0,309.5,230.0,230.0,241.0,288.25,240.5,286.75,205.75
141,247.75,230.75,273.0,274.25,265.25,276.25,314.5,263.25,193.75,221.25,273.75,203.0,251.25,188.5
142,236.75,242.0,277.5,245.25,265.75,247.25,256.75,203.5,196.0,269.75,206.75,206.75,277.75,245.0
143,276.25,235.25,288.75,262.0,264.5,300.5,237.75,256.5,234.5,246.0,260.25,227.25,322.0,197.75
144,308.75,261.25,243.0,253.5,239.5,242.5,278.75,261.25,196.25,260.5,252.25,218.5,263.5,208.0
145,217.75,273.0,283.25,247.75,250.0,307.5,234.25,245.0,219.5,279.0,232.5,243.0,238.5,277.0
146,291.0,243.75,281.25,254.25,258.0,246.25,257.0,236.5,236.0,250.5,254.25,200.5,252.0,192.0
147,256.0,248.0,262.5,250.25,245.25,322.0,294.5,222.0,262.5,250.25,300.5,211.75,186.75,245.75
148,262.25,283.25,301.25,229.5,223.25,297.5,225.75,231.5,312.5,244.75,259.0,205.5,247.5,272.25
149,309.0,231.25,245.75,217.5,278.75,240.5,302.25,245.75,275.0,247.25,247.0,228.75,290.0,262.0
150,265.25,265.25,331.75,212.25,263.75,304.5,219.0,255.5,209.0,253.75,248.75,258.25,254.5,212.25
151,260.75,276.25,260.75,222.5,235.75,282.5,289.25,235.5,236.0,256.25,250.75,262.0,222.5,235.0
152,240.25,233.5,259.75,268.75,258.5,303.5,284.75,253.5,227.5,217.0,258.5,220.75,227.25,231.5
153,268.25,258.75,256.0,237.75,259.25,296.25,253.5,227.0,286.25,245.5,252.5,238.25,248.0,249.25
154,324.0,235.25,293.5,245.75,220.25,343.5,262.25,242.5,244.5,218.25,236.5,231.5,242.5,243.0
155,292.5,184.5,301.75,223.75,239.25,297.5,347.25,198.5,259.75,246.75,246.5,208.25,254.25,243.0
156,304.5,253.5,275.5,254.75,251.75,282.0,267.25,238.0,214.5,260.25,294.5,235.75,211.25,210.25
157,322.0,286.25,245.0,293.75,240.25,311.0,255.0,242.5,247.0,254.5,284.5,183.25,245.75,195.25
158,264.75,216.25,257.0,273.75,225.25,218.5,301.75,265.25,205.5,249.5,218.5,232.5,319.0,251.0
159,285.25,215.5,275.75,244.0,216.25,324.5,277.5,259.5,263.0,253.5,274.25,252.25,243.75,221.75
160,297.75,209.5,269.5,258.75,260.0,313.5,206.5,252.5,259.25,256.0,291.5,230.0,176.25,209.75
161,256.25,231.25,275.75,260.0,286.0,290.0,322.0,239.0,227.75,258.0,222.5,230.25,298.75,212.25
162,288.5,262.0,269.0,229.5,199.25,242.25,260.25,229.75,260.25,238.5,229.75,234.0,202.75,242.25
163,276.75,230.25,283.75,272.25,283.0,317.75,263.0,237.75,240.75,225.0,220.25,243.5,240.75,229.25
164,280.75,221.25,312.0,260.75,269.25,302.75,296.25,213.25,235.75,228.0,224.75,220.25,236.75,272.75
165,282.75,221.75,251.5,231.5,259.75,279.75,286.5,204.5,264.0,221.25,283.5,251.5,237.25,280.5
166,243.25,204.0,258.75,229.75,276.75,263.0,246.5,277.0,302.75,253.0,198.0,216.0,288.5,257.0
167,274.25,254.5,264.75,223.25,252.5,252.0,276.75,203.5,230.75,230.75,275.75,205.0,212.75,217.5
168,306.75,262.25,268.25,258.0,262.25,281.0,238.75,261.75,212.5,228.25,269.75,234.5,186.0,235.75
169,260.25,254.25,296.5,256.75,267.25,317.75,266.75,226.75,259.75,229.0,266.25,242.25,193.5,250.75
170,293.0,235.25,278.5,255.25,256.0,276.0,257.0,255.5,201.25,214.5,231.0,246.5,274.75,219.5
171,281.0,252.5,270.25,201.25,276.0,272.0,267.75,284.5,266.5,231.5,264.75,254.25,289.0,201.75
172,275.0,276.25,283.25,216.5,255.25,306.5,268.75,211.25,196.0,250.5,257.25,251.25,245.5,203.0
173,273.75,253.0,270.0,251.5,262.75,306.0,280.0,227.25,247.5,237.75,272.5,237.0,239.75,255.0
174,323.75,267.75,237.0,253.75,234.75,274.0,284.25,279.5,222.75,233.0,291.75,205.5,175.25,200.5
175,221.25,221.5,291.75,259.25,268.25,297.25,297.5,229.0,320.0,216.0,252.25,203.5,243.5,229.25
176,259.5,297.75,273.25,278.5,238.25,321.0,268.25,257.0,257.25,291.5,302.25,222.0,261.5,243.0
177,305.0,241.75,285.0,251.75,266.75,270.5,288.5,246.75,240.0,255.75,306.0,226.5,189.5,170.0
178,271.5,257.75,265.75,276.0,315.5,232.0,279.0,279.75,256.5,231.25,309.75,233.25,241.0,232.75
179,305.75,237.25,247.5,235.5,247.0,298.25,288.0,246.75,215.75,261.5,268.5,241.5,287.75,227.0
180,272.5,275.0,221.0,242.75,227.75,283.5,273.75,262.75,239.5,204.75,250.25,211.0,196.75,238.0
181,294.0,201.25,272.25,248.0,241.25,295.75,267.0,243.0,235.75,228.5,275.5,222.0,239.75,230.75
182,297.0,253.0,255.5,212.75,244.75,289.5,228.25,250.5,225.75,246.0,262.5,241.75,268.75,255.5
183,264.75,219.25,289.25,251.25,245.0,274.5,264.75,254.0,264.0,265.75,267.5,213.5,230.0,210.0
184,232.5,183.5,264.0,216.0,252.5,282.75,238.25,237.0,215.75,243.75,258.75,190.25,265.0,198.0
185,300.5,224.0,273.25,261.0,250.0,291.25,270.25,263.25,232.75,261.75,265.0,264.25,195.25,196.25
186,273.0,217.25,280.25,248.75,236.75,250.0,240.0,246.5,251.0,250.5,237.75,200.5,193.0,187.25
187,292.5,239.5,275.5,219.25,293.0,255.0,258.5,240.0,247.25,251.25,275.5,210.25,208.5,237.75
188,193.0,235.25,282.0,222.0,280.75,334.0,287.75,243.75,230.25,272.75,240.5,219.75,241.25,247.0
189,296.25,240.25,303.75,214.0,244.0,320.25,226.25,243.5,279.75,239.0,226.5,241.5,186.75,218.75
190,331.75,255.5,271.25,195.5,235.75,304.5,262.75,247.25,217.25,272.75,224.25,230.0,254.5,216.25
191,249.5,241.25,311.75,267.75,267.0,271.25,290.75,219.75,216.25,203.75,278.25,244.25,315.0,238.25
192,280.75,230.5,269.25,276.75,250.25,318.75,311.75,213.0,264.0,225.25,227.0,238.25,197.5,275.5
193,271.75,286.25,249.25,249.25,232.75,283.0,237.5,241.75,306.75,248.25,282.0,225.0,238.25,212.5
