,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
171,252.0,186.0,268.25,217.25,235.25,252.0,300.75,217.75,234.0,245.0,261.0,238.25,235.25,221.0
172,251.25,178.5,264.0,230.5,257.25,287.25,210.5,254.0,198.75,241.25,212.0,245.25,228.25,222.0
173,212.75,200.25,283.75,220.75,270.5,278.0,308.75,239.0,233.5,268.0,248.0,228.0,182.0,208.5
174,295.5,243.0,282.75,239.25,242.25,321.75,321.25,268.75,268.0,250.25,265.5,196.75,243.75,230.75
175,286.25,247.0,281.5,229.25,240.0,277.5,291.5,271.5,233.25,261.75,254.25,237.75,213.5,286.5
176,223.5,211.5,271.5,245.0,254.0,288.0,210.5,283.5,255.5,237.5,268.0,240.25,159.0,190.75
177,293.25,239.25,300.25,219.5,249.0,312.25,258.0,244.25,233.75,256.25,242.5,251.25,207.75,215.75
178,301.25,215.0,259.0,256.25,238.75,266.0,244.75,246.0,245.75,264.75,216.5,262.75,259.75,265.0
179,266.75,223.25,274.25,273.25,270.5,310.0,267.75,293.75,203.5,193.25,207.0,234.25,222.75,238.5
180,283.5,231.25,269.25,242.25,264.0,350.5,257.75,238.5,248.0,283.75,283.5,218.0,238.75,246.5
181,260.0,234.75,267.25,290.5,275.5,331.5,299.5,264.0,239.75,227.25,262.25,224.75,287.25,250.5
182,304.0,242.25,270.75,258.25,214.75,243.25,291.5,272.75,220.0,231.0,265.75,223.25,245.25,294.0
183,253.5,205.25,302.0,216.75,285.5,268.0,256.25,287.0,242.75,262.75,233.5,247.0,203.75,240.25
184,224.75,233.75,303.0,253.75,283.25,269.0,294.75,274.75,203.75,245.75,238.0,247.75,184.25,205.5
185,268.75,254.0,262.5,205.75,293.25,287.0,303.75,254.75,170.5,239.75,251.25,232.0,197.0,273.25
186,298.0,254.25,259.5,246.75,231.0,274.0,276.25,244.5,267.5,244.75,265.5,237.75,239.0,215.5
187,234.0,231.75,273.25,251.0,236.5,280.0,204.0,245.5,180.5,270.0,251.0,229.5,200.75,237.75
188,223.5,220.75,299.75,239.0,221.0,287.0,217.25,255.75,232.5,272.0,240.75,199.0,217.25,235.25
189,270.75,238.0,291.0,259.0,238.25,257.0,230.5,249.25,228.25,214.75,262.75,207.75,233.25,250.25
190,214.75,200.0,268.75,232.5,271.75,287.0,265.5,269.5,240.5,241.5,250.0,252.0,176.75,199.5
191,287.0,185.5,297.25,256.0,256.0,283.0,221.25,266.25,219.0,245.25,277.25,218.0,265.25,239.75
192,270.0,267.0,270.0,237.75,251.75,231.5,287.25,232.5,230.75,222.75,237.75,232.75,262.75,235.0
193,227.0,224.25,257.0,234.75,221.75,266.75,309.0,248.25,238.75,272.5,258.5,219.25,238.75,225.75
194,301.75,253.5,286.75,230.5,213.75,286.5,193.0,314.0,188.25,282.0,225.0,257.0,221.75,244.25
195,265.25,186.0,290.0,206.25,222.5,288.75,332.75,262.5,275.0,204.75,229.75,250.75,258.75,237.5
196,260.5,216.0,259.5,223.5,269.25,272.25,292.0,209.0,231.0,263.0,233.0,224.25,163.25,192.5
197,310.5,237.5,318.25,209.75,217.5,282.5,305.0,253.5,226.5,258.75,211.5,252.0,209.75,221.25
