PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF/C,Richaun Holmes (11849111),Richaun Holmes,11849111,PF/C/F/UTIL,3800,PHO@BKN 12/23/2018 06:00PM ET,PHO,17.02
,,,,,,,,,SF/PF,Michael Kidd-Gilchrist (11849107),Michael Kidd-Gilchrist,11849107,SF/PF/F/UTIL,3800,CHA@BOS 12/23/2018 06:00PM ET,CHA,19.78
,,,,,,,,,C,Ivica Zubac (11849124),Ivica Zubac,11849124,C/UTIL,3700,MEM@LAL 12/23/2018 09:30PM ET,LAL,9.21
,,,,,,,,,PG,Shelvin Mack (11849126),Shelvin Mack,11849126,PG/G/UTIL,3700,MEM@LAL 12/23/2018 09:30PM ET,MEM,18.05
,,,,,,,,,C,Tyson Chandler (11849135),Tyson Chandler,11849135,C/UTIL,3700,MEM@LAL 12/23/2018 09:30PM ET,LAL,14.46
,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (11849155),Kentavious Caldwell-Pope,11849155,SG/SF/F/G/UTIL,3700,MEM@LAL 12/23/2018 09:30PM ET,LAL,15.65
,,,,,,,,,SF/PF,James Johnson (11849129),James Johnson,11849129,SF/PF/F/UTIL,3700,MIA@ORL 12/23/2018 06:00PM ET,MIA,17.64
,,,,,,,,,SG/SF,Jonathon Simmons (11849137),Jonathon Simmons,11849137,SG/SF/F/G/UTIL,3700,MIA@ORL 12/23/2018 06:00PM ET,ORL,14.80
,,,,,,,,,PG,De'Anthony Melton (11849149),De'Anthony Melton,11849149,PG/G/UTIL,3700,PHO@BKN 12/23/2018 06:00PM ET,PHO,16.95
,,,,,,,,,C,Boban Marjanovic (11849133),Boban Marjanovic,11849133,C/UTIL,3700,LAC@GS 12/23/2018 08:30PM ET,LAC,16.08
,,,,,,,,,SG,Avery Bradley (11849152),Avery Bradley,11849152,SG/G/UTIL,3700,LAC@GS 12/23/2018 08:30PM ET,LAC,14.69
,,,,,,,,,PG,Tony Parker (11849142),Tony Parker,11849142,PG/G/UTIL,3700,CHA@BOS 12/23/2018 06:00PM ET,CHA,18.88
,,,,,,,,,SF/PF,Solomon Hill (11849145),Solomon Hill,11849145,SF/PF/F/UTIL,3700,NO@SAC 12/23/2018 06:00PM ET,NO,12.36
,,,,,,,,,PG/SG,Josh Hart (11849180),Josh Hart,11849180,PG/SG/G/UTIL,3600,MEM@LAL 12/23/2018 09:30PM ET,LAL,18.16
,,,,,,,,,PG,Shaquille Harrison (11849160),Shaquille Harrison,11849160,PG/G/UTIL,3600,CHI@CLE 12/23/2018 06:00PM ET,CHI,15.03
,,,,,,,,,PG,Jalen Brunson (11849169),Jalen Brunson,11849169,PG/G/UTIL,3600,DAL@POR 12/23/2018 09:00PM ET,DAL,11.69
,,,,,,,,,SF/PF,Dorian Finney-Smith (11849172),Dorian Finney-Smith,11849172,SF/PF/F/UTIL,3600,DAL@POR 12/23/2018 09:00PM ET,DAL,18.16
,,,,,,,,,PF/C,Kevon Looney (11849163),Kevon Looney,11849163,PF/C/F/UTIL,3600,LAC@GS 12/23/2018 08:30PM ET,GS,17.5
,,,,,,,,,C,Aron Baynes (11849167),Aron Baynes,11849167,C/UTIL,3600,CHA@BOS 12/23/2018 06:00PM ET,BOS,13.66
,,,,,,,,,PF/C,Cheick Diallo (11849176),Cheick Diallo,11849176,PF/C/F/UTIL,3600,NO@SAC 12/23/2018 06:00PM ET,NO,10.28
,,,,,,,,,SG/SF,Lance Stephenson (11849210),Lance Stephenson,11849210,SG/SF/F/G/UTIL,3500,MEM@LAL 12/23/2018 09:30PM ET,LAL,16.42
,,,,,,,,,SF/PF,Jaron Blossomgame (11849215),Jaron Blossomgame,11849215,SF/PF/F/UTIL,3500,CHI@CLE 12/23/2018 06:00PM ET,CLE,12.65
,,,,,,,,,SG/SF,Rodney McGruder (11849192),Rodney McGruder,11849192,SG/SF/F/G/UTIL,3500,MIA@ORL 12/23/2018 06:00PM ET,MIA,22.30
